scene_id,trip_id,substance,block,coder_A,coder_B,rater_status,rater_A_individuated,rater_B_individuated,stage1_driver,parent_scene_id,stage1_verdict,verdict_flavour,verdict_source,canonical_span_start,canonical_span_end,scene_word_count,scene_rank_in_trip,canonical_desc,rater_A_excerpt,rater_B_excerpt,narrative_passage,stage1_rationale,verdict_rationale,n_scenes_in_trip,n_convergent_in_trip,n_solo_A_in_trip,n_solo_B_in_trip,n_scenes_rater_A_in_trip,n_scenes_rater_B_in_trip,n_miss_in_trip,n_granularity_in_trip,n_ambiguity_2a_in_trip,n_ambiguity_2b_in_trip,trip_word_count
Psilocybe_13_S10_AB,Psilocybe_13,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,5144,5400,256,10,"Orange splits into two halves that become two brains (smaller old, larger new)",A11,B22,"The orange, now split into two halves with one being bigger than the other, turned into two brains. I understood without any question that I was seeing how the small brain was one from before and the larger brain represented a growth that I was now feeling",,Both raters individuated this passage.,13,9,1,3,10,12,2,0,1,1,1597
Psilocybe_13_S11_B_RCL,Psilocybe_13,psilocybin,11-20,Francesco,Susana,only_B,False,True,RCL,,MISS,,manual,5522,5600,78,11,Room bursts into million colors and crazy patterns,,B23,And then my room bursts into a million colors and crazy patterns and I was tot,No automatic classification; likely genuine miss by other rater,"""Room bursts into a million colors and crazy patterns"" — ambient colour+pattern explosion. Matches AB criterion (many animated surfaces/patterns in this trip).",13,9,1,3,10,12,2,0,1,1,1597
Psilocybe_13_S12_B_RCL,Psilocybe_13,psilocybin,11-20,Francesco,Susana,only_B,False,True,RCL,,MISS,,manual,6893,7000,107,12,Peeled banana has streaks of red and purple (tie-dye colors),,B24,"I saw that this banana, once peeled, had streaks of red and purple in it. Thinking that I was seeing things",No automatic classification; likely genuine miss by other rater,"""Peeled banana, once peeled, had streaks of red and purple in it"" — concrete visual alteration of specific object. Matches AB criterion (paintings come alive, blankets as clouds) — specific-object-hallucination category.",13,9,1,3,10,12,2,0,1,1,1597
Psilocybe_13_S13_A_RCL,Psilocybe_13,psilocybin,11-20,Francesco,Susana,only_A,True,False,RCL,,AMBIGUITY,2b,manual,7196,7300,104,13,Feels electricity in the back of his head during storm,A12,,I could feel electricity in the back of my head and my neck hair was standing up. We live on top of a hi,No automatic classification; likely genuine miss by other rater,"""Feel electricity in the back of my head and my neck hair was standing up"" during a storm — somatic sensation, possibly real (storm-related static / arousal) rather than hallucinatory. Edge-case for the hallucinatory-scene category.",13,9,1,3,10,12,2,0,1,1,1597
Psilocybe_14_S01_A_RCL,Psilocybe_14,psilocybin,11-20,Francesco,Susana,only_A,True,False,RCL,,AMBIGUITY,2a,manual,687,790,103,1,First flashes of pastel colors dance behind eyelids,A01,,the first flashes of pastel colors began to dance behind my eyelids. But something was different this t,No automatic classification; likely genuine miss by other rater,"""First flashes of pastel colors began to dance behind my eyelids"" — minor onset closed-eye visual. Threshold edge-case: are minor onset CEVs discrete scenes or too-minor-to-individuate? Guidelines unclear.",6,3,1,2,4,5,0,0,1,2,1476
Psilocybe_14_S02_B_SOMA,Psilocybe_14,psilocybin,11-20,Francesco,Susana,only_B,False,True,SOMA,,AMBIGUITY,2b,auto,795,900,105,2,Strange irregularity in heartbeat / cardiac arrhythmia feeling,,B01,"I noticed a strange irregularity in my heartbeat, which I am particularly sensitive to. To me the heartbe",Self-transformation / interoceptive content,Somatic self-transformation / interoceptive content — the passage is phenomenologically real but may not be a hallucinatory SCENE in the external-object sense; would fit better in a body-schema / ego-dissolution category the current taxonomy lacks.,6,3,1,2,4,5,0,0,1,2,1476
Psilocybe_14_S03_B_RCL,Psilocybe_14,psilocybin,11-20,Francesco,Susana,only_B,False,True,RCL,,AMBIGUITY,2b,manual,1285,1400,115,3,Realizes 'it was my turn to die',,B02,"It was then that I realized that it was my turn to die. It was as if I was supposed to be this afraid, because the ",No automatic classification; likely genuine miss by other rater,"""It was my turn to die"" — insight/belief with no perceptual content. Would fit a delusional-belief or existential-insight category, not a hallucinatory scene.",6,3,1,2,4,5,0,0,1,2,1476
Psilocybe_14_S04_AB,Psilocybe_14,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,2191,2500,309,4,Horrific feeling of being violated and examined by invisible forces,A02,"B03,B04","It was total psychological torture, and all the while I had the horrific feeling of being violated and examined by invisible forces. In a whimpering voice I squeaked out 'Please be gentle with me, I don't want to suffer!'. Strangely, this request seemed to quell whatever ugliness had taken hold of me. Whatev",,Both raters individuated this passage.,6,3,1,2,4,5,0,0,1,2,1476
Psilocybe_14_S05_AB,Psilocybe_14,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,2730,3000,270,5,"Stream of terrifying imagery spreads all around: occult symbols, sigils, hieroglyphs, cuneiform, flaming chariots, horned goats, snakes, angels",A03,"B05,B06,B07,B08,B09,B10,B11,B12,B13,B14","My heartbeat began to steady, and then a stream of the most hauntingly terrifying imagery I have ever seen spread out all around me. Occult symbols, sigils, hieroglyphs, cuneiform, flaming chariots, horned goats, snakes, angels, the kind of stuff depicted in William Bla",,Both raters individuated this passage.,6,3,1,2,4,5,0,0,1,2,1476
Psilocybe_14_S06_AB,Psilocybe_14,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,4351,4600,249,6,"Ink appears to touch paper before pen hits, letters spill in slow motion, page looks made of radiant liquid light",A04,B15,"It almost appeared like the ink was touching the paper before my pen even hit the page, and I watched it saturate the fibers in slow motion as the jumbled letters spilled all over the page, which appeared to be made of radiant liquid light: 

'Every",,Both raters individuated this passage.,6,3,1,2,4,5,0,0,1,2,1476
Psilocybe_15_S01_A_RCL,Psilocybe_15,psilocybin,11-20,Francesco,Susana,only_A,True,False,RCL,,MISS,,manual,855,960,105,1,"Looking into tree, limbs seem to pull away from him and each other",A01,,as I looked into the tree above me the limbs seemed to pull away from me and each other. At this point ti,No automatic classification; likely genuine miss by other rater,"""Limbs in the tree seemed to pull away from me and each other"" — concrete visual distortion of trees. Directly matches AB S12/S13 (trees melting and bending); an earlier instance of the same phenomenon B consolidated later.",16,9,4,3,13,12,3,1,0,3,1953
Psilocybe_15_S02_A_RCL,Psilocybe_15,psilocybin,11-20,Francesco,Susana,only_A,True,False,RCL,,AMBIGUITY,2b,manual,1098,1200,102,2,"Sun has awesome presence: warm, powerful, God-like",A02,,"the sun had this awesome presence, it was warm and powerful, a God like figure. Scott stepped into the",No automatic classification; likely genuine miss by other rater,"""The sun had this awesome presence, it was warm and powerful, a God-like figure"" — subjective feeling about the sun's meaning/significance. No hallucinated visual alteration of the sun; numinous feeling rather than perception.",16,9,4,3,13,12,3,1,0,3,1953
Psilocybe_15_S03_B_RCL,Psilocybe_15,psilocybin,11-20,Francesco,Susana,only_B,False,True,RCL,Psilocybe_15_S12_AB,GRANULARITY,,manual,1513,1630,117,3,"Scenery changed, nothing sits in space normally, nothing stationary",,B01,"The scenery had definitely changed, nothing seemed to sit in space as it normally would, and nothing was stationary. ",No automatic classification; likely genuine miss by other rater,"Summary of ongoing visual distortion already captured across AB S12/S13/S14 (trees melting, strange reality, lights bent). Larger-scope scenes are the AB individuations; this solo is a generalised summary fragment. Parent set to S12 as the earliest AB instance of the phenomenon.",16,9,4,3,13,12,3,1,0,3,1953
Psilocybe_15_S04_AB,Psilocybe_15,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,1630,1810,180,4,Rush of geometric flowing orange/yellow/red patterns behind eyelids,A03,B02,"I laid back and closed my eyes. Instantly I saw a rush of geometric flowing orange, yellow, and red patterns behind my eyelids. It was amazingly beautiful and I was awe struck. I b",,Both raters individuated this passage.,16,9,4,3,13,12,3,1,0,3,1953
Psilocybe_15_S05_AB,Psilocybe_15,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,1807,2000,193,5,"Sees images of Buddha, Jesus and other unidentified figures",A04,B03,"I began to see images of the Buddha, and I believe someone mentioned something about Jesus as I felt and saw the presence of Jesus, Buddha, and other unidentified figures. I then heard the scre",,Both raters individuated this passage.,16,9,4,3,13,12,3,1,0,3,1953
Psilocybe_15_S06_A_RCL,Psilocybe_15,psilocybin,11-20,Francesco,Susana,only_A,True,False,RCL,,MISS,,manual,2523,2640,117,6,Friends' yells reverberate and he felt them all around him,A05,,"their yells reverberated the same way the hawk's scream did, and I felt them all around me. I stood up and as I did s",No automatic classification; likely genuine miss by other rater,"""Friends' yells reverberated the same way the hawk's scream did, and I felt them all around me"" — concrete auditory distortion with spatial-dispersal content. Directly matches AB S11 (""yelps of coyotes and reverberating auditory hallucinations"") — same phenomenon.",16,9,4,3,13,12,3,1,0,3,1953
Psilocybe_15_S07_AB,Psilocybe_15,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,2642,3000,358,7,Sees reflections of himself on either side; bush and tree multiply infinitely,A06,"B04,B05","I saw reflections of myself on either side of me. Everything green seemed to grow and stick out, and a bush multiplied along with the reflections of myself. I reached down and touched it and saw the multiple images of myself do the same, and the one on my left seemed to look at me. A tree in front of me multiplied infinitely and it was almost too much imag",,Both raters individuated this passage.,16,9,4,3,13,12,3,1,0,3,1953
Psilocybe_15_S08_AB,Psilocybe_15,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,3047,3260,213,8,Asks 'Who am I?' and hears inner voices answering 'Gregg Dix' through to 'no one',A07,B06,"I lay back down and began to forget who I was, I kept asking 'Who am I?' in my head and getting answers that began with 'Gregg Dix' and ended up with 'no one.' I was definitely speaking with myself, or another par",,Both raters individuated this passage.,16,9,4,3,13,12,3,1,0,3,1953
Psilocybe_15_S09_B_RCL,Psilocybe_15,psilocybin,11-20,Francesco,Susana,only_B,False,True,RCL,,AMBIGUITY,2b,manual,5125,5240,115,9,"Enters strange world in head filled with language, numbers, confusion",,"B07,B08","I entered a strange world in my head; it was filled with language, numbers, confusion, loss ness, and amazement. I ",No automatic classification; likely genuine miss by other rater,"""Entered a strange world in my head; filled with language, numbers, confusion, loss ness"" — inner cognitive/mental experience with no external perceptual content. Would fit a mentation-state category, not hallucinatory scene.",16,9,4,3,13,12,3,1,0,3,1953
Psilocybe_15_S10_B_RCL,Psilocybe_15,psilocybin,11-20,Francesco,Susana,only_B,False,True,RCL,,AMBIGUITY,2b,manual,5238,5500,262,10,Everything in life was elaborate lie; was primitive mind; became one with something else,,"B09,B10",I began to believe that everything in my life up until this point had been an elaborate lie. I was not Gregg Dix; I was a primitive mind with no real connections to reality except for this body I was soon going to leave. I forget everything around me and I becam,No automatic classification; likely genuine miss by other rater,"""I was not Gregg Dix; I was a primitive mind…"" — delusional/existential-belief passage with no perceptual content. Classic ego-dissolution trip-level phenomenon.",16,9,4,3,13,12,3,1,0,3,1953
Psilocybe_15_S11_AB,Psilocybe_15,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,5784,5900,116,11,Yelps of coyotes and reverberating auditory hallucinations during sunset,A08,B11,"yelps of coyotes and reverberating auditory hallucinations, I had somehow come to terms with the fact that what I th",,Both raters individuated this passage.,16,9,4,3,13,12,3,1,0,3,1953
Psilocybe_15_S12_AB,Psilocybe_15,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,5968,6100,132,12,Runs thinking Jeff is make-believe; everything around bends and melts,A09,"B12,B13",I ran from Jeff thinking he was make-believe and I felt a rush of flight and saw everything around me bend and melt. Suddenly I saw ,,Both raters individuated this passage.,16,9,4,3,13,12,3,1,0,3,1953
Psilocybe_15_S13_AB,Psilocybe_15,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,6757,6900,143,13,"Walking up hill, trees melted and bent around him; Jeff and the light the only stationary things",A10,B14,"We walked up the hill as trees melted and bent around me, Jeff and the light the only stationary figures of reality. 

As we walked up the hill",,Both raters individuated this passage.,16,9,4,3,13,12,3,1,0,3,1953
Psilocybe_15_S14_AB,Psilocybe_15,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,7381,7500,119,14,"Strange reality: street lights bent, cars flew through houses, stars fell",A11,B15,"And what a strange reality it was, street lights bent, cars flew through houses, stars fell. I fell to the ground and w",,Both raters individuated this passage.,16,9,4,3,13,12,3,1,0,3,1953
Psilocybe_15_S15_A_RCL,Psilocybe_15,psilocybin,11-20,Francesco,Susana,only_A,True,False,RCL,,MISS,,manual,7971,8100,129,15,"Poked head from blanket: strange orange dawn-like place, no longer night",A12,,"I poked my head from the blanket and it was a strange orange dawn like place, it was night no longer. But as quickly as it came i",No automatic classification; likely genuine miss by other rater,"""Poked my head from the blanket and it was a strange orange dawn-like place, it was night no longer"" — concrete visual perception of altered environment. Matches AB S14 (""strange reality: street lights bent, cars flew through houses, stars fell"") — same environment-alteration category.",16,9,4,3,13,12,3,1,0,3,1953
Psilocybe_15_S16_AB,Psilocybe_15,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,8377,8500,123,16,Friends return: figures stretching from normal height to ten feet tall,A13,B16,I got out of the blanket and saw these figures stretching from normal height to ten feet tall come near me. They looked lik,,Both raters individuated this passage.,16,9,4,3,13,12,3,1,0,3,1953
Psilocybe_16_S01_AB,Psilocybe_16,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,807,930,123,1,Bricks on wall take on carpet-like texture as he stares,A01,B01,"Indeed, the longer I stared at the wall, the more the bricks took on a different texture, until they appeared as a carpet. ",,Both raters individuated this passage.,9,5,1,3,6,8,1,0,1,2,2683
Psilocybe_16_S02_AB,Psilocybe_16,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,930,1080,150,2,"Sees outlines of numbers, a strange face, and moving patterns on wall",A02,"B02,B03,B04,B05","On one wall, I could see the outlines of numbers, and a strange face, and moving patterns - I understood at once where the Woodstock clichés come from",,Both raters individuated this passage.,9,5,1,3,6,8,1,0,1,2,2683
Psilocybe_16_S03_A_RCL,Psilocybe_16,psilocybin,11-20,Francesco,Susana,only_A,True,False,RCL,,MISS,,manual,1082,1180,98,3,Trees outside loomed at him vibrant and alive,A03,,"He took me outside to look at some trees, which loomed at me vibrant and alive. He advised me not ",No automatic classification; likely genuine miss by other rater,"""Trees outside loomed at him vibrant and alive"" — visual alteration / anthropomorphisation of trees. Matches AB S01/S02 (bricks as carpet, numbers/face on wall) — ambient object-alteration category.",9,5,1,3,6,8,1,0,1,2,2683
Psilocybe_16_S04_AB,Psilocybe_16,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,1208,1480,272,4,Hidden patterns on floor including etheric forms of two figures embracing each other,A04,"B06,B07,B08","then directed my attention to the floor. There I saw all manner of hidden patterns, including the etheric forms of two figures embracing each other. It distinctly reminded me of Alex Grey's artwork. 

'Holy shit,' I said. 'We have to look up Alex Grey. Have you seen his s",,Both raters individuated this passage.,9,5,1,3,6,8,1,0,1,2,2683
Psilocybe_16_S05_B_RCL,Psilocybe_16,psilocybin,11-20,Francesco,Susana,only_B,False,True,RCL,,AMBIGUITY,2a,manual,1489,1700,211,5,Alex Grey's website: couldn't tell if pictures were actually moving animations or not,,B09,"I showed my friend to my computer, and brought up Alex Grey's website. By then I couldn't tell whether the pictures there were actually moving animations or not, and had to keep asking my friend whether I was ha",No automatic classification; likely genuine miss by other rater,"""Couldn't tell whether pictures on Alex Grey's website were actually moving animations or not"" — metacognitive uncertainty about whether a perception is hallucinated or real. Edge-case: the scene-existence judgement itself is in the rater's uncertainty. Guidelines unclear on how to code ""uncertain-origin"" perceptions.",9,5,1,3,6,8,1,0,1,2,2683
Psilocybe_16_S06_AB,Psilocybe_16,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,3004,3100,96,6,Tiny spiders crawling across vision,A05,,"I, a mild arachnophobe, saw tiny spiders crawling across my vision, and I laughed and said “Don’",,Both raters individuated this passage.,9,5,1,3,6,8,1,0,1,2,2683
Psilocybe_16_S07_AB,Psilocybe_16,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,3332,3550,218,7,"Closed-eye imaginative imagery: anything he thinks of appears behind eyelids, vivid and psychedelic; 'carnival of the strange' atmosphere",A06,"B10,B11,B12","Anything I thought of appeared behind my eyelids, vivid and psychedelically colourful. The best part was the atmosphere - a busy, excited carnival show in the background of whatever image I was conjuring. 'The carnival",,Both raters individuated this passage.,9,5,1,3,6,8,1,0,1,2,2683
Psilocybe_16_S08_B_RCL,Psilocybe_16,psilocybin,11-20,Francesco,Susana,only_B,False,True,RCL,,AMBIGUITY,2b,manual,4812,5180,368,8,Pressing fingers into desk: resistance perceived as non-spatial pure sensation (dimensionless),,"B13,B14,B15","I was starting to get a very warped sense of my own body. For example, I would press my fingers into the desk, and I perceived the resistance between my fingers and the desk as something that wasn’t happening in Euclidean space. It had no location. It was just a feeling. There was no direction, no distance, nothing, just the sensation of pressure. I realised that, i",No automatic classification; likely genuine miss by other rater,"""Resistance between my fingers and the desk… had no location… just the sensation of pressure"" — altered somatosensory processing (dimensionless tactile perception). Phenomenologically real but not a hallucinated content scene; would fit an altered-perceptual-phenomenology category.",9,5,1,3,6,8,1,0,1,2,2683
Psilocybe_16_S09_B_RCL,Psilocybe_16,psilocybin,11-20,Francesco,Susana,only_B,False,True,RCL,,AMBIGUITY,2b,manual,7786,8000,214,9,"Language devolves into glossolalia soup; bringing up random images (blackboard, chalk, dog barking)",,"B16,B17,B18,B19,B20","And after that, my language went too, devolving into glossolalia soup, and it left me sitting on the carpet bringing up random images that I tried to craft meaning out of. A blackboard and chalk. A dog barking. Lit",No automatic classification; likely genuine miss by other rater,"""Language went too, devolving into glossolalia soup"" + random-image conjuring — language dysfunction + internally-generated imagery. Language dysfunction is cognitive; the imagery is voluntary/conjured, not spontaneous hallucination.",9,5,1,3,6,8,1,0,1,2,2683
Psilocybe_17_S01_A_RCL,Psilocybe_17,psilocybin,11-20,Francesco,Susana,only_A,True,False,RCL,,MISS,,manual,1491,1700,209,1,"Newspapers on table defy gravity, flap gently as if from a breeze",A01,,"I watched my newspapers on the table as I ate start to defy gravity and the newspapers started flapping gently, like a breeze was allowed through a close window. I decided that the trip was becoming more inten",No automatic classification; likely genuine miss by other rater,"""Newspapers on table defy gravity, flap gently as if from a breeze"" — concrete visual hallucination of objects moving. Matches AB S06 (""Quetzalcoatl reappears, morphs room: walls split, windows become flapping mirrors"") — same flapping/environment-distortion phenomenon.",7,6,1,0,7,6,1,0,0,0,2372
Psilocybe_17_S02_AB,Psilocybe_17,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,1848,2100,252,2,"PC screen appears as kaleidoscope of colors, beehive of intricate 'networks' like stars of color on a blank pallet",A02,"B01,B02","The PC screen is a kaleidoscope of colors. It’s so beautiful. It is like an unusual anomaly, I’m actually seeing a beehive of intricate “networks” in my screen, like a series of stars of color on a blank pallet. The keyboard also feels very different, ",,Both raters individuated this passage.,7,6,1,0,7,6,1,0,0,0,2372
Psilocybe_17_S03_AB,Psilocybe_17,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,2952,4400,1448,3,"Sees Quetzalcoatl (snake god of Aztecs) in distance, approaching; body of multi-polygon Rubik's-cube-like formation; peers at him, lifts him","A03,A04,A05,A06,A07","B03,B04,B05"," I then saw a distinct figure in my meditation, the snake god of the Aztecs and several indigenous tribes of Mexico, Quetzalcoatl. He started off way in the distance, and slowly came closer, and he was different than I had imagined. His body was a complex multitude of polygons, all in a swarming block formation, like a Rubik’s Cube, but instead it was in all directions. He had filled my closed eye vision, and there were colors everywhere. He then lifted me up and showed me his face. He looked like a huge dragon, and peered into my face. He had a face that I would estimate to be like the size of a small single story house. He then gripped me and lifted me up, but ever so gently. 

I remember embracing him and finally feeling that I had a place of belonging in my life. Tears streamed down my face as I hugged his back to hang on. I was having so much fun and euphoria when he lifted me into the sky, away from my house and into the universe for discussion of an extraterrestrial nature. 

Except that he didn’t somehow like my presence. Because I think at that moment I angered him greatly by me laughing at this great spectacle. He constricted my body and I felt my vitals give out. My breathing slowly stopped and I felt my heart slow to a stop. It was then that I fell back on to my bed, and died. I felt into my eyes and felt no pain. I was hoping that [in real life] I wasn’t ripping my eyes out. 

I died and disintegrated into piece",,Both raters individuated this passage.,7,6,1,0,7,6,1,0,0,0,2372
Psilocybe_17_S04_AB,Psilocybe_17,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,4365,5100,735,4,Dies and disintegrates into pieces; grew 6 extra arms; feels broken body; hears parents' voices asking 'what is wrong with you son?',"A08,A09","B06,B07,B08","I died and disintegrated into pieces, and had realized that I had somewhere along the line grown 6 extra arms, because I could use them to feel my broken body. My hearing became really high pitched, like the hearing after a rock concert, it was constantly ringing. I “thought” (more like it was plausible that I could barely hear them) I could hear my parents say “what is wrong with you son?”, and I heard them say that they were going to be there for me when I died. I was hoping that [in real life] they hadn’t appeared in my room because I was incapacitated and couldn’t respond. The entire time I knew the shrooms were promoting this paranoia, so I felt agitated. I reassured myself that my parents had not gone into my room while",,Both raters individuated this passage.,7,6,1,0,7,6,1,0,0,0,2372
Psilocybe_17_S05_AB,Psilocybe_17,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,5257,5480,223,5,"Fan spawns flaming Pentagram; Satan appears as a face from pentagram, laughs, goes away",A10,"B09,B10,B11,B12","My fan in my room instantly spawned a flaming Pentagram when I lie there dead. Satan appeared then from the pentagram, but was merely a face, and went right up to me and laughed and then went away. I was not afraid, and the",,Both raters individuated this passage.,7,6,1,0,7,6,1,0,0,0,2372
Psilocybe_17_S06_AB,Psilocybe_17,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,5896,6200,304,6,"Quetzalcoatl reappears, morphs room: walls split, windows become flapping mirrors, door missing knob",A11,B13,"Quetzalcoatl then reappeared, he morphed my room and I was left to explore what was left of my heavily “voided” room. The walls had split, the windows had turned to mirrors that were flapping on the wall, and the door was missing a door knob. I came to the conclusion that I was a spirit, and was left to",,Both raters individuated this passage.,7,6,1,0,7,6,1,0,0,0,2372
Psilocybe_17_S07_AB,Psilocybe_17,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,7027,7150,123,7,Journeys out of Earth into other planets to see other terrestrial life,A12,,"I was able to journey out of the Earth and into other planets to see other terrestrial life. 

The Original Tree of Knowled",,Both raters individuated this passage.,7,6,1,0,7,6,1,0,0,0,2372
Psilocybe_18_S01_AB,Psilocybe_18,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,1780,1920,140,1,Starry night sky expands and contracts in rhythm with breathing,A01,"B01,B02","Every breath I was taking, the starry night sky above me was repeating. It would expand and contract in rhythm with my diaphragm. 

The naus",,Both raters individuated this passage.,8,6,2,0,8,6,2,0,0,0,5531
Psilocybe_18_S02_AB,Psilocybe_18,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,2119,2800,681,2,Grass arranges itself in geometric patterns while walking; patterns become more organized and permanent,"A02,A03","B03,B04","While walking I was staring down at the grass because it seemed to me to be arranging itself in geometric patterns as I moved. When I stopped to examine the patterns more closely though, they would disappear. The visuals were transitory at this point in the trip. I do not remember exactly what I was thinking about, but I do remember that Jimmy Eat World was still playing, specifically Gotta Be Somebody's Blues. The music was starting to become fascinatingly enjoyable to the point where I was having trouble recognizing songs. I was noticing sounds that normally my brain filtered out. The patterns in the grass were also becoming more organized and more permanent. Additionall",,Both raters individuated this passage.,8,6,2,0,8,6,2,0,0,0,5531
Psilocybe_18_S03_AB,Psilocybe_18,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,2789,3000,211,3,Fuzzy edge of scarf appears as large white spider ambling along to his left,A04,"B05,B06,B07","Additionally, the fuzzy edge of my scarf was visible at the periphery of my vision and while I was walking it seemed to me to be a large white spider ambling along just to my left. Although this scared me at fir",,Both raters individuated this passage.,8,6,2,0,8,6,2,0,0,0,5531
Psilocybe_18_S04_AB,Psilocybe_18,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,5351,5500,149,4,Bright blue galaxy with yellow Mario stars transposed over night sky between two palm trees,A05,"B08,B09,B10",And then I looked up and saw a bright blue galaxy with yellow Mario stars transposed over the night sky in between two palm trees. I'd never seen suc,,Both raters individuated this passage.,8,6,2,0,8,6,2,0,0,0,5531
Psilocybe_18_S05_AB,Psilocybe_18,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,9144,9280,136,5,Jaguar's eyes staring back at him from horizon on city skyline,A06,"B11,B12",At one point I looked at the city skyline and saw a Jaguar's eyes staring back at me from the horizon. I remember how sexual mushrooms h,,Both raters individuated this passage.,8,6,2,0,8,6,2,0,0,0,5531
Psilocybe_18_S06_A_RCL,Psilocybe_18,psilocybin,11-20,Francesco,Susana,only_A,True,False,RCL,,MISS,,manual,10193,10320,127,6,Outlines of spiders on both peaks of Squaw Peak,A07,,staring at Squaw Peak and seeing the outlines of spiders on both peaks. The images of the spiders transfixed me to my spot and ,No automatic classification; likely genuine miss by other rater,"""Outlines of spiders on both peaks of Squaw Peak"" — concrete visual hallucination with specific content. Matches AB S03 (""fuzzy edge of scarf appears as large white spider"") and S05 (""jaguar's eyes staring back from city skyline"") — same pattern-outline hallucination pattern.",8,6,2,0,8,6,2,0,0,0,5531
Psilocybe_18_S07_AB,Psilocybe_18,psilocybin,11-20,Francesco,Susana,both,True,True,,,CONVERGENT,,auto,26752,26900,148,7,Green light of smoke detector makes a peace sign,A08,"B13,B14","when I looked up, I saw the green light of the smoke detector making a peace sign. It brought a smile to my face. I wish this moment had lasted long",,Both raters individuated this passage.,8,6,2,0,8,6,2,0,0,0,5531
Psilocybe_18_S08_A_RCL,Psilocybe_18,psilocybin,11-20,Francesco,Susana,only_A,True,False,RCL,,MISS,,manual,28692,28800,108,8,Words moving across computer screen making them hard to read,A09,,"the words were moving across the screen. While interesting, it wasn't helpful towards what I was trying to d",No automatic classification; likely genuine miss by other rater,"""Words were moving across the screen"" — concrete visual alteration of text. Pair's criterion includes many surface-motion alterations throughout the trip.",8,6,2,0,8,6,2,0,0,0,5531
Psilocybe_19_S01_A_RCL,Psilocybe_19,psilocybin,11-20,Francesco,Susana,only_A,True,False,RCL,,MISS,,manual,1024,1250,226,1,"Circle of light on roof is turning clockwise, then counter-clockwise",A01,,"I check the lamp, still normal. I glance up at the roof where it splashes a small circle of light and see that it’s… turning? Yes, clockwise, then counter-clockwise, just a little. 

T-0:35: 
I’m throwing on some music to ligh",No automatic classification; likely genuine miss by other rater,"""Circle of light on the roof is turning clockwise, then counter-clockwise"" — concrete visual hallucination of motion. Pair's criterion elsewhere in neighbouring trips (Alessandra × Alessio) includes movement perception hallucinations.",11,1,3,7,4,8,3,0,1,6,2210
Psilocybe_19_S02_A_RCL,Psilocybe_19,psilocybin,11-20,Francesco,Susana,only_A,True,False,RCL,,MISS,,manual,2248,2380,132,2,Portraits on wall seem pleased with his efforts to entertain the stern one,A02,,they’re much more pleased with my efforts to entertain the sixth. If I’m under the effects I’m still unsure because I’ve been like t,No automatic classification; likely genuine miss by other rater,"""Portraits on wall seem pleased with my efforts to entertain the stern one"" — animated portraits with responsive expressions. Concrete visual person-in-art hallucination.",11,1,3,7,4,8,3,0,1,6,2210
